"Episode","Title","Air Date"
"1","Fun Run","September 27, 2007"
"2","Dunder Mifflin Infinity","October 4, 2007"
"3","Launch Party","October 11, 2007"
"4","Money","October 18, 2007"
"5","Local Ad","November 1, 2007"
"6","Branch Wars","November 8, 2007"
"7","Survivor Man","November 15, 2007"
"8","The Deposition","November 15, 2007"
"9","Dinner Party","April 10, 2008"
"10","Chair Model","April 17, 2008"
"11","Night Out","April 24, 2008"
"12","Did I Stutter?","May 1, 2008"
"13","Job Fair","May 8, 2008"
"14","Goodbye, Toby","May 15, 2008"
